max g232s__tu,count_approved_gen12,count_total_gen12,prop_approved_gen12,count_approved_gen13,count_total_gen13,prop_approved_gen13
222.00,10125,21328,0.4747280570142536,10361,21328,0.4857933233308327
223.00,10125,21328,0.4747280570142536,10361,21328,0.4857933233308327
224.00,10125,21328,0.4747280570142536,10361,21328,0.4857933233308327
225.00,10125,21328,0.4747280570142536,10361,21328,0.4857933233308327
226.00,10125,21328,0.4747280570142536,10361,21328,0.4857933233308327
227.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
228.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
229.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
230.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
231.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
232.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
233.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
234.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
235.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
236.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
237.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
238.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
239.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
240.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
241.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
242.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
243.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
244.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
245.00,10125,21329,0.47470579961554693,10361,21329,0.4857705471423883
246.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
247.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
248.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
249.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
250.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
251.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
252.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
253.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
254.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
255.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
256.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
257.00,10125,21330,0.47468354430379744,10361,21330,0.48574777308954525
258.00,10125,21331,0.47466129107871174,10361,21331,0.4857250011720032
259.00,10125,21331,0.47466129107871174,10361,21331,0.4857250011720032
260.00,10125,21332,0.47463903993999623,10361,21332,0.48570223138946184
261.00,10125,21332,0.47463903993999623,10361,21332,0.48570223138946184
262.00,10125,21332,0.47463903993999623,10361,21332,0.48570223138946184
263.00,10125,21332,0.47463903993999623,10361,21332,0.48570223138946184
264.00,10125,21332,0.47463903993999623,10361,21332,0.48570223138946184
265.00,10125,21332,0.47463903993999623,10361,21332,0.48570223138946184
266.00,10125,21332,0.47463903993999623,10361,21332,0.48570223138946184
267.00,10125,21332,0.47463903993999623,10361,21332,0.48570223138946184
268.00,10125,21332,0.47463903993999623,10361,21332,0.48570223138946184
269.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
270.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
271.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
272.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
273.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
274.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
275.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
276.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
277.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
278.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
279.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
280.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
281.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
282.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
283.00,10125,21333,0.47461679088735764,10362,21333,0.4857263394740543
284.00,10125,21334,0.4745945439205025,10362,21334,0.4857035717633824
285.00,10125,21334,0.4745945439205025,10362,21334,0.4857035717633824
286.00,10125,21334,0.4745945439205025,10362,21334,0.4857035717633824
287.00,10125,21334,0.4745945439205025,10362,21334,0.4857035717633824
288.00,10126,21336,0.47459692538432696,10363,21336,0.4857049118860142
289.00,10126,21336,0.47459692538432696,10363,21336,0.4857049118860142
290.00,10126,21336,0.47459692538432696,10363,21336,0.4857049118860142
291.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
292.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
293.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
294.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
295.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
296.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
297.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
298.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
